,name,rating,title,date,review_body
0,Manu,1.0 out of 5 stars,No dust bag supplied,Reviewed in India on 2 April 2022,No dust bag supplied
1,Amazon Customer,3.0 out of 5 stars,Short flexible hose - Should be at least 2 metres,Reviewed in India on 28 March 2022,"You can't reach the cobwebs on normal height ceiling because of the short flexible hose length. So, this is useless for cleaning cobwebs etc."
2,vinesh,1.0 out of 5 stars,Fast complaint,Reviewed in India on 24 March 2022,"On 15 th day ,the hose is broken,looks like very old stock"
3,Amazon Customer,1.0 out of 5 stars,Worst after sales services,Reviewed in India on 22 March 2022,Product is ok but not robust as motor got burnt in 4 months of use.After sales services are poorest at it's best.I reached chandigarh service centre & they didnot kept my product for repair and replied part will come in 4 months time.I strongly suggest not to buy these cheap companies who don't entertain their customers after.
4,Kannan,1.0 out of 5 stars,Do not buy …,Reviewed in India on 22 March 2022,"It is absolutely a waste … no proper customer service or support … I purchased it on October 2021 and by January the side clips broke,  since then I been trying to"
5,Joseph Benedict,3.0 out of 5 stars,High sound... Little cable🤔,Reviewed in India on 5 March 2022,Need quality improve
6,vijay,3.0 out of 5 stars,Need to replace a broken part,Reviewed in India on 2 March 2022,"The media could not be loaded.
                



 This part of the vacuum cleaner broke in the first use only, please help me replace this part."
7,naveen kumawat,1.0 out of 5 stars,Not working condition,Reviewed in India on 28 February 2022,The media could not be loaded.
8,Umair Ashraf,5.0 out of 5 stars,Excellent product and service,Reviewed in India on 25 February 2022,"Initially received the product with minor cracks. However, after a satisfactory conversation with customer service got the order replaced. The replaced product reached within 10 days and without any defect. Highly recommended"
9,Anonymustang,5.0 out of 5 stars,This is a good one,Reviewed in India on 23 February 2022,"Bought this back in 2019 on sale and it has been working great since, both dry + wet suction is good and makes house cleaning an easy task."
10,Manu,1.0 out of 5 stars,No dust bag supplied,Reviewed in India on 2 April 2022,No dust bag supplied
11,Amazon Customer,3.0 out of 5 stars,Short flexible hose - Should be at least 2 metres,Reviewed in India on 28 March 2022,"You can't reach the cobwebs on normal height ceiling because of the short flexible hose length. So, this is useless for cleaning cobwebs etc."
12,vinesh,1.0 out of 5 stars,Fast complaint,Reviewed in India on 24 March 2022,"On 15 th day ,the hose is broken,looks like very old stock"
13,Amazon Customer,1.0 out of 5 stars,Worst after sales services,Reviewed in India on 22 March 2022,Product is ok but not robust as motor got burnt in 4 months of use.After sales services are poorest at it's best.I reached chandigarh service centre & they didnot kept my product for repair and replied part will come in 4 months time.I strongly suggest not to buy these cheap companies who don't entertain their customers after.
14,Kannan,1.0 out of 5 stars,Do not buy …,Reviewed in India on 22 March 2022,"It is absolutely a waste … no proper customer service or support … I purchased it on October 2021 and by January the side clips broke,  since then I been trying to"
15,Joseph Benedict,3.0 out of 5 stars,High sound... Little cable🤔,Reviewed in India on 5 March 2022,Need quality improve
16,vijay,3.0 out of 5 stars,Need to replace a broken part,Reviewed in India on 2 March 2022,"The media could not be loaded.
                



 This part of the vacuum cleaner broke in the first use only, please help me replace this part."
17,naveen kumawat,1.0 out of 5 stars,Not working condition,Reviewed in India on 28 February 2022,The media could not be loaded.
18,Umair Ashraf,5.0 out of 5 stars,Excellent product and service,Reviewed in India on 25 February 2022,"Initially received the product with minor cracks. However, after a satisfactory conversation with customer service got the order replaced. The replaced product reached within 10 days and without any defect. Highly recommended"
19,Anonymustang,5.0 out of 5 stars,This is a good one,Reviewed in India on 23 February 2022,"Bought this back in 2019 on sale and it has been working great since, both dry + wet suction is good and makes house cleaning an easy task."
20,akram khan,5.0 out of 5 stars,Best in the market,Reviewed in India on 18 February 2022,"Cheap & Best in the market as it fullfill awlll your daily needs for cleaning purposes like blower, wet and dry, suction power is too good and what else  we need from a vacuum cleaner."
21,Rajiv,1.0 out of 5 stars,Don't buy!,Reviewed in India on 17 February 2022,Worst product...  don't even think of buying!
22,Dr Altaf Hussain,4.0 out of 5 stars,Over all a good product.,Reviewed in India on 6 February 2022,"Good suction,  bad part is spare parts like hose pipe even not available on amazon, lock of hose pipe broken after 2 months of use."
23,ISHAQ ALI DILER,5.0 out of 5 stars,An Effective vaccine cleaner,Reviewed in India on 11 January 2022,Suction power
24,Varun Thakur,2.0 out of 5 stars,service wastage of money,Reviewed in India on 9 January 2022,"Worked wonderfully for a month and then no suction it is now sitting in service centre from a month no updates, terrible"
25,Rohan,1.0 out of 5 stars,Worst plastic quality product. Pay more buy better,Reviewed in India on 9 January 2022,"This is one of the worst products. The positive reviews could be deceiving. Few parts cracked on the first day itself. If reviews matter than, please dont waste your many on this piece of garbage. No matter who made it, its still your money."
26,Hari Govind Batham,5.0 out of 5 stars,It's upto the mark .,Reviewed in India on 5 January 2022,It's a very good product .I like it .
27,Vinothkumar,3.0 out of 5 stars,Not use this,Reviewed in India on 28 December 2021,Not use this i don't like this brand.....
28,Jayapaul,4.0 out of 5 stars,All types off vaccum cleaner its better and good price to deal,Reviewed in India on 23 December 2021,Ok its not bad
29,burhan,1.0 out of 5 stars,Quality poor,Reviewed in India on 12 December 2021,Pipe broken
30,Neljo,1.0 out of 5 stars,Not good,Reviewed in India on 12 December 2021,"product not good , horrible experience"
31,veer singh,5.0 out of 5 stars,easy purchase,Reviewed in India on 11 December 2021,personal use
32,VIjay Patil,1.0 out of 5 stars,Poor Product Qulity and Design,Reviewed in India on 11 December 2021,Great suction power. However all plastic parts are of inferior quality. Design has not given though for usability.
33,Bharath,1.0 out of 5 stars,Good for short use,Reviewed in India on 5 December 2021,Review after 3 months of usePros1. Good suction power2. Easy to clean dust bagCons1. Length of the tube is short. It can't reach the ceiling from floor.2. Makes deafening noise.3. Accessories are less and they make black lines on white wall.4. Heats up quickly. You need to cool it down after 5 mins of use.
34,sani shaji,5.0 out of 5 stars,Heavy duty and performance beyond expectations,Reviewed in India on 29 November 2021,"Heavy duty body and motor, suction and blow power are quite good. Ease of use and handling is remarkable"
35,Vigee H.,5.0 out of 5 stars,The perfect item to clean up with good suction power.,Reviewed in India on 28 November 2021,I've different types of top brands vaccum cleaner. But this one is much much better than others. The suction power is very good. Easy to clean and use.
36,RAVINDER SINGH SIDHU,4.0 out of 5 stars,Vaccume pipe is too short,Reviewed in India on 21 November 2021,Pipe is too short . Useless experience
37,Nick,4.0 out of 5 stars,Good,Reviewed in India on 18 November 2021,Good
38,Harsh D.,3.0 out of 5 stars,Quality is not the best,Reviewed in India on 18 November 2021,Company has decreased its quality now earlier black and decker was very good but now its changed. Vacccum works good for now but in long term I don't know.
39,Vinay Kumar,1.0 out of 5 stars,Delivered a used product in horrible condition.,Reviewed in India on 13 November 2021,Delivered a used product in horrible condition.  But thanks to Amzon it was replaced with s new genuine piece.
40,Rohit thakur,1.0 out of 5 stars,Poor quality,Reviewed in India on 12 November 2021,Totally disappointed
41,Roy,4.0 out of 5 stars,Good value for money. Quality could be a bit better,Reviewed in India on 12 November 2021,Great vacuum cleaner and good suction power. However the plastic quality isn't that good and the plastic extension booms for capets and floor vacuuming have started to crack already
42,Elton Quadros,5.0 out of 5 stars,Great product within a 5k budget,Reviewed in India on 11 November 2021,After seeing all the bad reviews still took a risk and got this one... It was delivered safely without any damages. Also very easy and simple to use. It has a blower and suction option too also has a wet and dry option. Light weight too.
43,Vijay,3.0 out of 5 stars,It is ok...,Reviewed in India on 9 November 2021,Somewhat ok...
44,Vishnu Prasad,2.0 out of 5 stars,Low quality pipes,Reviewed in India on 8 November 2021,"Low quality pipes,connecting end broken after single use.worst quality pipes ."
45,Balachandran Vasudevan Nair,5.0 out of 5 stars,Nice,Reviewed in India on 7 November 2021,Serves my purpose.No false claims.Good.
46,Kiran Kumar Tarania,4.0 out of 5 stars,"Good, value for money.",Reviewed in India on 6 November 2021,"But the  extension tubes are short. Hard to reach ceiling. should provide 3, instead of 2, extension tubes."
47,Dhaval Kedari,1.0 out of 5 stars,Cheap quality and no suction power .. waste of money .,Reviewed in India on 4 November 2021,"The media could not be loaded.
                



 Suction power is very low ."
48,jitendra pareek,5.0 out of 5 stars,Good for the job,Reviewed in India on 29 October 2021,Overall a good product with was eof usage and good power.. recommended
49,T Rakesh Singh,5.0 out of 5 stars,Worth for Money,Reviewed in India on 27 October 2021,Value for money
50,Anu S Das,3.0 out of 5 stars,Good,Reviewed in India on 24 October 2021,Nice product. But lack in suction power
51,Vineet Panjwani,4.0 out of 5 stars,Worth buying,Reviewed in India on 23 October 2021,Its value for money . Powerful suction  and blower. Easy to assemble .
52,Pandian,1.0 out of 5 stars,Black and decker vacum clr 15 L,Reviewed in India on 23 October 2021,"This product is very terrible worst product, don't buy ............"
53,Avinash. J. Welinkar,1.0 out of 5 stars,Bad experience,Reviewed in India on 22 October 2021,Received a re-packed and damaged box and over and above the machine did not work . A replacement was send - all was well but they forgot to pack the wheels of the vacuum cleaner. The company toll-free number don't work properly. Finnal gave up and now will have scout and buy wheels for the vacuum cleaner from the market
54,Uvashruthika M,1.0 out of 5 stars,Very worst..,Reviewed in India on 20 October 2021,"Got an used product, filter bag missing, parts fully of dust and the nozzle was broken and the suction tip was removed"
55,suyambukumarkta,2.0 out of 5 stars,OK FOR PRICE,Reviewed in India on 20 October 2021,CANNOT CLEAN COB WEB ON THE ROOF OF MY HOUSE. EXTENSION TUBE IS TOO SHORT. NO WIRE RETRACTION
56,Ahamed,3.0 out of 5 stars,The Product is ok but the extension pipe is in plastic and does look strong.,Reviewed in India on 20 October 2021,"Just got the items delivered now, the product is ok but the extension pipe is in plastic and does look strong. most of the brands the pipes are in steel, don't understand why B+D is supplying plastic pipes, other than that it is a good product."
57,Amazon Customer,4.0 out of 5 stars,Nice product,Reviewed in India on 18 October 2021,Working very good
58,Pradeep,1.0 out of 5 stars,Third class product,Reviewed in India on 18 October 2021,Thid class product
59,pratik,5.0 out of 5 stars,Best one in budget range,Reviewed in India on 17 October 2021,"The product is best for 1000 sq feet area , suction power is out of this world, wet use also good but need to remove filter first, otherwise good product in 5-6 k range , if you are looking for good vacume cleaner go for it, no need to compare with other Product ,"
60,Shajahan K,2.0 out of 5 stars,Flexible hose is too short to reach ceiling!!!!!,Reviewed in India on 17 October 2021,"Flexible hose is too short to reach roof height, if we try to strecth hose, cleaner will topple down, no bristled  brush type cleaner or angled brush for corners. Accessories are not enough to carry normal indoor cleaning"
61,Nagendar r gupta,3.0 out of 5 stars,the pipeline issue pipe is very small,Reviewed in India on 15 October 2021,ok
62,paresh,4.0 out of 5 stars,Easy to use and powerfull,Reviewed in India on 14 October 2021,Product was best but suction  pipe was veey cheep in quality allready brocken in box
63,Superior interio,1.0 out of 5 stars,Material quality is very poor...,Reviewed in India on 11 October 2021,"Material quality is very poor, or send us damage item,"
64,Rajuabdulla,1.0 out of 5 stars,LED is not working,Reviewed in India on 11 October 2021,LED is not working.. filter fixing screw will not tighten
65,Satheesh Zambia,2.0 out of 5 stars,Arrived as Suction pipe damaged,Reviewed in India on 8 October 2021,"I had only received this product in the evening, although the packing & wrapping was good but we have found one the Suction pipe /tube in an extensively damaged condition. Kindly advise us what next."
66,Sajad Hussian,4.0 out of 5 stars,Nice Vaccum Cleaner,Reviewed in India on 8 October 2021,Vaccum Cleaner is good but I was expecting more powerful suction  because it's 1400 watt. I got it in Rs. 4100.
67,BALASANKAR P,2.0 out of 5 stars,Very noisy,Reviewed in India on 7 October 2021,Very noisy
68,Prime User,1.0 out of 5 stars,Received broken pipe.,Reviewed in India on 4 October 2021,It's really pathetic same time disappointing to get such defective product. Ithe accessories are made of very cheap plastic. It's not upto the mark. Within couple of uses plastic pipe can be easily broken
69,P.sanyasi r.,4.0 out of 5 stars,Great deal at this price,Reviewed in India on 4 October 2021,"Just bought this yesterday, fast delivery by Amazon got in one day. First I was scared about negative reviews coz they said there product is broken but mine is packed very safely. And my finale verdict is beware of electricity bill."
70,Surya,1.0 out of 5 stars,Both the blower n suction getting switched on the same time… worst product ever,Reviewed in India on 2 October 2021,Both the blower n suction getting switched on the same time from day 2… worst product everCalled the service centre… they took 3 days to come to home and check the productAfter checking even they don’t know why it is behaving like that …they took the product to get it servicing at their place …wait for further update
71,Nanda,5.0 out of 5 stars,Superb product go for it,Reviewed in India on 1 October 2021,superb product go for it
72,Maheshwar V,1.0 out of 5 stars,Substandard product and No customer service to claim warranty,Reviewed in India on 30 September 2021,"Bought in MAY 2021, Stopped working in Sept 2021. Since 23 Sept I am writing mails to Black and Decker till date no one has taken responsibility in resolving the issue.The customer care nos. don't work and automated message mentions to use Whatsapp again no response only automated message with working hours (I doubt anyone works in this company).Only response after raising a ticket on website is - Your request (2901010) has been updated. To add additional comments, reply to this email.If Amazon wants to be in business you need to ban these products from selling on your platform."
73,Binu,3.0 out of 5 stars,Good product,Reviewed in India on 26 September 2021,Good product but heating very fast.
74,Kindle Customer,2.0 out of 5 stars,Average product,Reviewed in India on 25 September 2021,"1. Circular brush is not provided, it is very much required for dusting walls, roofs, any other surfaces etc. Had to purchase it separately2. Shape of the nozzle is not convenient3. Comes with 2 extension pipes that is not sufficient to reach the roof had to purchase it separately4. Floor brush comes with wiper which makes the normal brush uneasy to use... Needs lot of practiceOverall average product"
75,Victor,2.0 out of 5 stars,Disappointed,Reviewed in India on 24 September 2021,"1. the manual is sketchy and not easy to comprehend;2. the attachments are not ""clip on"" type;3. the cord is not retractable;4. the crevice attachment is too fat to get to the insides of crevices, nooks.There probably is better stuff available."
76,Alvaro Viegas,1.0 out of 5 stars,was damaged when arrived - but replacement was quick,Reviewed in India on 23 September 2021,"Terrible product quality, please never buy"
77,Muhammad Hussain,5.0 out of 5 stars,Very nice vaccum cleaner,Reviewed in India on 19 September 2021,This is really a very good vaccum cleaner
78,ANSARI ERAMANGALATH MOHAMED YOUSUF,5.0 out of 5 stars,Good product,Reviewed in India on 18 September 2021,I purchased it for cleaning my car and home... Both works become faster and very easy .. I feel to use it and clean the car... Because this mechine have good power and do the job fastly
79,utpal,5.0 out of 5 stars,"Wonderful But blow hole is in side, it blowout all dust in d floor. Flexible pipe is very short",Reviewed in India on 15 September 2021,"Better then any model of eureka fobes. In suction, dry n wet both I tested supperrr. I previously used eureka fobes iclean, bakuwass product, only dry costing double of it. No service. I  am purchasing this product not expecting after sales service. But it if runs well for three years I will through it if after that it doesnt work n i will purchase another one. Wonderful product. Test for seven days within return policy period it defective found just exchange. Otherwise just go through it. Use for maximum 10 to 15 min. Then give rest for 10 min. N start again. One should go through it. Forget eureka fobes."
80,dipsikha shyam,4.0 out of 5 stars,Overall good,Reviewed in India on 14 September 2021,"Overall experience is good but it heats up too fast, i have to switch it off after every 5 mins....but it's overall performance is okay for the price i got it for, Rs 5290. I think the machine is little bulky, rest alright...."
81,P.Sada Siva Rao,3.0 out of 5 stars,Good product but extension pipe is very small.,Reviewed in India on 12 September 2021,Suction pipe is small and does not go up to roof.
82,Amazon Customer,1.0 out of 5 stars,Not very useful product,Reviewed in India on 12 September 2021,The length of suction pipes is small and is unable to reach till ceiling.
83,MOIDU MAYIL KANDY,1.0 out of 5 stars,Useless device,Reviewed in India on 11 September 2021,It’s totally useless machine
84,Swapnil Thakur,4.0 out of 5 stars,Good,Reviewed in India on 10 September 2021,Good
85,n lakshmi narayana,3.0 out of 5 stars,Pretty decent for price range,Reviewed in India on 10 September 2021,Suction power is decent but not enough for Indian homes. You'll still need to sweep from time to time otherwise dust will just start accumulating on the floor. Extensions are pretty good although not enough to reach ceiling corners. Wire length is good but it keeps getting in the way. All in all it's pretty good for the price. Noise and heating is at par with any other vaccum cleaner
86,Raja Ganguly,5.0 out of 5 stars,Excellent product. Powerful & value for money,Reviewed in India on 9 September 2021,Great purchase
87,Manickavasagam SP,4.0 out of 5 stars,Good Buy,Reviewed in India on 9 September 2021,Good Buy
88,S Chiesa,5.0 out of 5 stars,Works perfectly,Reviewed in India on 8 September 2021,Great product
89,Arindam De,5.0 out of 5 stars,"Eorthy, easy to use, Strong Made",Reviewed in India on 7 September 2021,"This is an another product that I found at Amazon super super worthy, easy to use, and strong and professional grade. Material is too good and moreover cheaper in price than other companies product with similar features."
90,pankaj kumar,4.0 out of 5 stars,Design of bag filter not good and make hindrances else quite good,Reviewed in India on 4 September 2021,"Design of bag filter not good and make hindrances else quite good.. suction good blower good, noise slightly high, hose length some short."
91,vinoth,1.0 out of 5 stars,Damaged piece received  suction extension pipe damaged revived,Reviewed in India on 30 August 2021,Packing is not proper. Very bad packing
92,Narasimha Rao,4.0 out of 5 stars,Good,Reviewed in India on 30 August 2021,They could have given a drain cock
93,Jerry,2.0 out of 5 stars,Don't buy - No after sales product support,Reviewed in India on 26 August 2021,"I don't like this product which has no after sales product support, the most critical part.!!"
94,Navya,4.0 out of 5 stars,It's good.nice product.,Reviewed in India on 26 August 2021,"Suction power is ok ,regulated movement is good. It is Easy to use."
95,Aditya agarwala,5.0 out of 5 stars,It is a very good vaccum cleaner. It is easy to use. It is not too costly also,Reviewed in India on 22 August 2021,I like it's extra pipes and water taking in feature.
96,COIMBATORE MANOJ,1.0 out of 5 stars,VERY OLD MODEL AND INFERIOR PLATIC - BRAKABLE ONE,Reviewed in India on 20 August 2021,VERY OLD MODEL AND INFERY IOR PLATIC - BRAKABLE ONE. THEY DO NOT ALLOW TO CANCEL THE ORDER EVEN BEFORE SHIPPING !!!
97,ravi shanker,5.0 out of 5 stars,Good,Reviewed in India on 20 August 2021,Good product
98,Yogendra,4.0 out of 5 stars,Must buy it,Reviewed in India on 20 August 2021,It's very usefull to us
99,Varsha,4.0 out of 5 stars,A Very Decent Product,Reviewed in India on 19 August 2021,"The vacuum cleaner quality is really good. Also different type of suction pipes are available. Which makes it easier to clean everything(Floor,Sofa,Corners etc.)Easy to clean the vacuum cleaner bag. Works really well on carpets.But the only con about this product is that it doesn't completely clean the thin dust and also while using  the blower it heats up a little. Overall useful product with decent price."
100,Deepak Mukherjee,4.0 out of 5 stars,Price is reasonable,Reviewed in India on 17 August 2021,Very handy
101,SURESHBABU.M,5.0 out of 5 stars,Excellent product,Reviewed in India on 17 August 2021,"Great product. Satisfied with the overall existing. Suction power is good. Easy to carry and move place to place. Can be used for dust cleaning of floor, sofa, car, window etc"
102,Ajay,1.0 out of 5 stars,Waste product.,Reviewed in India on 16 August 2021,Please don't buy anyone waste product
103,Ajoy V J,1.0 out of 5 stars,"Product looks Good, recieved both time damaged product",Reviewed in India on 16 August 2021,
